Date,Sobh,Chourouk,Dohr,Asr,Maghrib,Icha
01/03/2017,05:52,07:33,13:04,15:59,18:37,20:04
02/03/2017,05:50,07:31,13:04,16:00,18:38,20:06
03/03/2017,05:48,07:29,13:04,16:01,18:40,20:07
04/03/2017,05:47,07:27,13:04,16:03,18:42,20:08
05/03/2017,05:45,07:25,13:03,16:04,18:43,20:10
06/03/2017,05:43,07:23,13:03,16:05,18:45,20:11
07/03/2017,05:41,07:20,13:03,16:06,18:46,20:12
08/03/2017,05:39,07:18,13:03,16:07,18:48,20:14
09/03/2017,05:37,07:16,13:02,16:08,18:49,20:15
10/03/2017,05:36,07:14,13:02,16:09,18:51,20:16
11/03/2017,05:34,07:12,13:02,16:10,18:53,20:18
12/03/2017,05:32,07:10,13:02,16:11,18:54,20:19
13/03/2017,05:30,07:08,13:01,16:12,18:56,20:20
14/03/2017,05:28,07:06,13:01,16:13,18:57,20:22
15/03/2017,05:26,07:04,13:01,16:14,18:59,20:23
16/03/2017,05:24,07:02,13:00,16:15,19:00,20:25
17/03/2017,05:22,07:00,13:00,16:16,19:02,20:26
18/03/2017,05:20,06:58,13:00,16:16,19:03,20:27
19/03/2017,05:18,06:56,13:00,16:17,19:05,20:29
20/03/2017,05:16,06:53,12:59,16:18,19:06,20:30
21/03/2017,05:14,06:51,12:59,16:19,19:08,20:32
22/03/2017,05:12,06:49,12:59,16:20,19:09,20:33
23/03/2017,05:10,06:47,12:58,16:21,19:11,20:34
24/03/2017,05:07,06:45,12:58,16:22,19:12,20:36
25/03/2017,05:05,06:43,12:58,16:23,19:14,20:37
26/03/2017,06:03,07:41,13:57,17:23,20:15,21:39
27/03/2017,06:01,07:39,13:57,17:24,20:17,21:40
28/03/2017,05:59,07:37,13:57,17:25,20:18,21:42
29/03/2017,05:57,07:34,13:57,17:26,20:20,21:43
30/03/2017,05:55,07:32,13:56,17:27,20:21,21:45
31/03/2017,05:53,07:30,13:56,17:27,20:23,21:46
