Day,Sobh,Chourouk,Dohr,Asr,Maghrib,Icha
1,03:50,05:52,13:49,18:03,21:46,23:47
2,03:50,05:51,13:49,18:04,21:47,23:48
3,03:50,05:50,13:49,18:04,21:48,23:48
4,03:50,05:50,13:49,18:04,21:49,23:49
5,03:49,05:49,13:49,18:05,21:49,23:49
6,03:49,05:49,13:49,18:05,21:50,23:50
7,03:49,05:48,13:50,18:06,21:51,23:50
8,03:49,05:48,13:50,18:06,21:52,23:51
9,03:49,05:48,13:50,18:06,21:52,23:51
10,03:49,05:47,13:50,18:07,21:53,23:52
11,03:49,05:47,13:50,18:07,21:54,23:52
12,03:49,05:47,13:51,18:07,21:54,23:53
13,03:49,05:47,13:51,18:08,21:55,23:53
14,03:49,05:47,13:51,18:08,21:55,23:53
15,03:49,05:47,13:51,18:08,21:56,23:54
16,03:49,05:47,13:51,18:09,21:56,23:54
17,03:49,05:47,13:52,18:09,21:57,23:54
18,03:49,05:47,13:52,18:09,21:57,23:54
19,03:49,05:47,13:52,18:09,21:57,23:55
20,03:50,05:47,13:52,18:10,21:58,23:55
21,03:50,05:47,13:53,18:10,21:58,23:55
22,03:50,05:47,13:53,18:10,21:58,23:55
23,03:50,05:48,13:53,18:10,21:58,23:56
24,03:51,05:48,13:53,18:10,21:58,23:56
25,03:51,05:48,13:53,18:11,21:58,23:56
26,03:51,05:49,13:54,18:11,21:58,23:56
27,03:51,05:49,13:54,18:11,21:58,23:56
28,03:52,05:50,13:54,18:11,21:58,23:56
29,03:52,05:50,13:54,18:11,21:58,23:56
30,03:53,05:51,13:54,18:11,21:58,23:56
