Date,Sobh,Chourouk,Dohr,Asr,Maghrib,Icha
01/11/2017,05:50,07:38,12:35,15:04,17:34,19:05
02/11/2017,05:51,07:39,12:35,15:03,17:32,19:04
03/11/2017,05:53,07:41,12:35,15:01,17:30,19:03
04/11/2017,05:54,07:42,12:35,15:00,17:29,19:01
05/11/2017,05:56,07:44,12:35,14:59,17:27,19:00
06/11/2017,05:57,07:46,12:35,14:58,17:26,18:58
07/11/2017,05:58,07:47,12:35,14:57,17:24,18:57
08/11/2017,06:00,07:49,12:35,14:55,17:23,18:56
09/11/2017,06:01,07:50,12:36,14:54,17:21,18:55
10/11/2017,06:03,07:52,12:36,14:53,17:20,18:54
11/11/2017,06:04,07:54,12:36,14:52,17:19,18:52
12/11/2017,06:05,07:55,12:36,14:51,17:17,18:51
13/11/2017,06:07,07:57,12:36,14:50,17:16,18:50
14/11/2017,06:08,07:58,12:36,14:49,17:15,18:49
15/11/2017,06:09,08:00,12:36,14:48,17:14,18:48
16/11/2017,06:11,08:01,12:37,14:47,17:12,18:47
17/11/2017,06:12,08:03,12:37,14:46,17:11,18:46
18/11/2017,06:13,08:04,12:37,14:46,17:10,18:46
19/11/2017,06:14,08:06,12:37,14:45,17:09,18:45
20/11/2017,06:16,08:07,12:37,14:44,17:08,18:44
21/11/2017,06:17,08:09,12:38,14:43,17:07,18:43
22/11/2017,06:18,08:10,12:38,14:42,17:06,18:42
23/11/2017,06:19,08:12,12:38,14:42,17:05,18:42
24/11/2017,06:21,08:13,12:38,14:41,17:04,18:41
25/11/2017,06:22,08:15,12:39,14:41,17:04,18:41
26/11/2017,06:23,08:16,12:39,14:40,17:03,18:40
27/11/2017,06:24,08:17,12:39,14:39,17:02,18:39
28/11/2017,06:25,08:19,12:40,14:39,17:01,18:39
29/11/2017,06:27,08:20,12:40,14:39,17:01,18:39
30/11/2017,06:28,08:21,12:40,14:38,17:00,18:38
