Day,Sobh,Chourouk,Dohr,Asr,Maghrib,Icha
1,06:24,07:50,13:40,16:50,19:29,20:56
2,06:25,07:52,13:40,16:48,19:27,20:54
3,06:27,07:53,13:40,16:47,19:25,20:52
4,06:28,07:55,13:39,16:45,19:23,20:50
5,06:30,07:56,13:39,16:44,19:21,20:47
6,06:31,07:58,13:39,16:42,19:19,20:45
7,06:33,07:59,13:38,16:41,19:17,20:43
8,06:34,08:01,13:38,16:39,19:15,20:41
9,06:36,08:02,13:38,16:37,19:13,20:39
10,06:37,08:04,13:38,16:36,19:11,20:37
11,06:39,08:05,13:37,16:34,19:09,20:35
12,06:40,08:07,13:37,16:33,19:07,20:33
13,06:41,08:08,13:37,16:31,19:05,20:31
14,06:43,08:10,13:37,16:30,19:03,20:29
15,06:44,08:11,13:36,16:28,19:01,20:27
16,06:46,08:13,13:36,16:27,18:59,20:26
17,06:47,08:14,13:36,16:25,18:57,20:24
18,06:49,08:16,13:36,16:24,18:55,20:22
19,06:50,08:17,13:36,16:22,18:53,20:20
20,06:52,08:19,13:35,16:21,18:51,20:18
21,06:53,08:20,13:35,16:19,18:49,20:17
22,06:55,08:22,13:35,16:18,18:48,20:15
23,06:56,08:23,13:35,16:16,18:46,20:13
24,06:57,08:25,13:35,16:15,18:44,20:11
25,06:59,08:27,13:35,16:13,18:42,20:10
26,07:00,08:28,13:35,16:12,18:40,20:08
27,07:02,08:30,13:35,16:11,18:39,20:06
28,07:03,08:31,13:34,16:09,18:37,20:05
29,07:05,08:33,13:34,16:08,18:35,20:03
30,07:06,08:34,13:34,16:07,18:33,20:02
31,07:07,08:36,13:34,16:05,18:32,20:00
